work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,EN,FT,Data Analist,65664,EUR,69120,NL,0,NL,M
2025,EN,FT,Data Analist,47652,EUR,50160,NL,0,NL,M
2025,EN,FT,Data Engineer,158113,USD,158113,US,0,US,M
2025,EN,FT,Data Engineer,87795,USD,87795,US,0,US,M
2025,MI,FT,Analytics Engineer,146000,USD,146000,US,0,US,M
2025,MI,FT,Analytics Engineer,97000,USD,97000,US,0,US,M
2025,MI,FT,Data Manager,121000,USD,121000,US,0,US,M
2025,MI,FT,Data Manager,103000,USD,103000,US,0,US,M
2025,MI,FT,Data Manager,80000,USD,80000,US,0,US,M
2025,MI,FT,Data Manager,62000,USD,62000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,246000,USD,246000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,196000,USD,196000,US,0,US,M
2025,MI,FT,Business Intelligence Developer,107309,USD,107309,CA,0,CA,M
2025,MI,FT,Business Intelligence Developer,85839,USD,85839,CA,0,CA,M
2025,MI,FT,Data Scientist,209100,USD,209100,US,0,US,M
2025,MI,FT,Data Scientist,154500,USD,154500,US,0,US,M
2025,EN,FT,Data Scientist,77000,USD,77000,US,0,US,M
2025,EN,FT,Data Scientist,70000,USD,70000,US,0,US,M
2025,MI,FT,Data Scientist,150400,USD,150400,US,0,US,M
2025,MI,FT,Data Scientist,90300,USD,90300,US,0,US,M
2025,MI,FT,Data Scientist,142200,USD,142200,US,0,US,M
2025,MI,FT,Data Scientist,85300,USD,85300,US,0,US,M
2025,MI,FT,Data Scientist,128600,USD,128600,US,0,US,M
2025,MI,FT,Data Scientist,62800,USD,62800,US,0,US,M
2025,MI,FT,Data Scientist,218030,USD,218030,US,0,US,M
2025,MI,FT,Data Scientist,114080,USD,114080,US,0,US,M
2025,MI,FT,Engineer,240000,USD,240000,US,0,US,M
2025,MI,FT,Engineer,120000,USD,120000,US,0,US,M
2025,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M
2025,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M
2025,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M
2025,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M
2025,EN,FT,Data Analyst,152000,USD,152000,US,0,US,M
2025,EN,FT,Data Analyst,96000,USD,96000,US,0,US,M
2025,EN,FT,Analyst,124600,USD,124600,US,0,US,M
2025,EN,FT,Analyst,69000,USD,69000,US,0,US,M
2025,MI,FT,Product Manager,259000,USD,259000,US,0,US,M
2025,MI,FT,Product Manager,204000,USD,204000,US,0,US,M
2025,MI,FT,Software Engineer,205800,USD,205800,US,0,US,M
2025,MI,FT,Software Engineer,137200,USD,137200,US,0,US,M
2025,MI,FT,Software Developer,110000,USD,110000,US,0,US,M
2025,MI,FT,Software Developer,74935,USD,74935,US,0,US,M
2025,MI,FT,Data Engineer,98300,USD,98300,US,0,US,M
2025,MI,FT,Data Engineer,65500,USD,65500,US,0,US,M
2025,MI,FT,Data Engineer,129800,USD,129800,US,0,US,M
2025,MI,FT,Data Engineer,70100,USD,70100,US,0,US,M
2025,EN,FT,Data Engineer,142200,USD,142200,US,100,US,M
2025,EN,FT,Data Engineer,106900,USD,106900,US,100,US,M
2025,MI,FT,Data Manager,34132,GBP,43205,GB,0,GB,M
2025,MI,FT,Data Manager,30805,GBP,38993,GB,0,GB,M
2025,MI,FT,Computer Vision Engineer,251000,USD,251000,US,0,US,M
2025,MI,FT,Computer Vision Engineer,170200,USD,170200,US,0,US,M
2025,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M
2025,MI,FT,Research Scientist,147000,USD,147000,US,0,US,M
2025,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M
2025,MI,FT,Research Scientist,147000,USD,147000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,237500,USD,237500,US,0,US,M
2025,MI,FT,Machine Learning Engineer,137750,USD,137750,US,0,US,M
2025,MI,FT,AI Engineer,140000,USD,140000,US,100,US,M
2025,MI,FT,AI Engineer,110000,USD,110000,US,100,US,M
2025,MI,FT,Data Analyst,146000,USD,146000,US,0,US,M
2025,MI,FT,Data Analyst,104000,USD,104000,US,0,US,M
