work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Machine Learning Researcher,143100,USD,143100,US,0,US,M
2023,MI,FT,Data Analyst,65000,GBP,79976,GB,100,GB,M
2024,MI,FT,Consultant,158000,USD,158000,US,100,US,M
2024,MI,FT,Data Engineer,199600,USD,199600,US,0,US,M
2024,MI,FT,Data Engineer,85000,USD,85000,US,100,US,M
2024,MI,FT,Data Engineer,99298,USD,99298,US,0,US,M
2024,EN,FT,Research Analyst,70400,USD,70400,US,0,US,M
2025,MI,FT,Analytics Engineer,60000,EUR,63157,IT,0,IT,M
2024,MI,FT,Research Scientist,200000,USD,200000,US,100,US,M
2024,MI,FT,Software Engineer,222000,USD,222000,US,0,US,M
2024,MI,FT,Engineer,250600,USD,250600,US,0,US,M
2025,EN,FT,Research Scientist,173000,USD,173000,US,0,US,M
2025,MI,FT,Associate,147000,USD,147000,US,100,US,M
2023,MI,FT,Data Scientist,225300,USD,225300,US,0,US,M
2025,MI,FT,Manager,221000,USD,221000,US,100,US,M
2024,MI,FT,Data Reporting Analyst,69000,USD,69000,US,0,US,M
2025,MI,FT,Software Engineer,160000,USD,160000,US,0,US,M
2024,MI,FT,Manager,106300,USD,106300,US,0,US,M
2025,MI,FT,Data Scientist,86520,USD,86520,US,0,US,M
2024,MI,FT,Data Engineer,317000,USD,317000,US,0,US,M
2025,MI,FT,Data Scientist,87200,USD,87200,US,0,US,M
2025,MI,FT,Manager,96000,USD,96000,US,0,US,M
2024,MI,FT,Software Developer,140000,USD,140000,US,0,US,M
2025,MI,FT,Developer,189175,USD,189175,US,0,US,M
2024,MI,FT,Analytics Engineer,125000,USD,125000,US,0,US,M
2024,MI,FT,Data Strategist,150000,USD,150000,US,100,US,M
2025,MI,FT,Application Developer,80000,USD,80000,US,0,US,M
2025,MI,FT,Software Engineer,162200,USD,162200,US,0,US,M
2024,MI,FT,Data Engineer,106000,USD,106000,US,0,US,M
2024,MI,FT,Data Scientist,69099,USD,69099,US,100,US,M
2024,MI,FT,Machine Learning Researcher,151800,USD,151800,US,0,US,M
